system,index,denominator,integer_form,verdict,provenance
"(3,6)",0,,"[1,1,1,0,0,0]",DESIGN-INT,direct
"(3,6)",1,2,"[2,1,1,1,1,0]",DESIGN-INT,direct
"(3,6)",2,4,"[3,3,2,2,1,1]",DESIGN-INT,direct
"(3,6)",3,2,"[1,1,1,1,1,1]",DESIGN-INT,direct
"(3,7)",0,,"[1,1,1,0,0,0,0]",DESIGN-INT,direct
"(3,7)",1,2,"[2,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,7)",2,3,"[3,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,7)",3,4,"[3,3,2,2,1,1,0]",DESIGN-INT,direct
"(3,7)",4,7,"[5,5,3,3,3,1,1]",DESIGN-INT,direct
"(3,7)",5,3,"[2,2,1,1,1,1,1]",DESIGN-INT,direct
"(3,7)",6,5,"[3,3,3,3,1,1,1]",DESIGN-INT,direct
"(3,7)",7,2,"[1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,7)",8,4,"[2,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,7)",9,7,"[3,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,8)",0,,"[1,1,1,0,0,0,0,0]",DESIGN-INT,direct
"(3,8)",1,2,"[2,1,1,1,1,0,0,0]",DESIGN-INT,direct
"(3,8)",2,3,"[3,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,8)",3,7,"[6,3,3,3,2,2,1,1]",DESIGN-INT,direct
"(3,8)",4,6,"[5,3,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,8)",5,5,"[4,3,2,2,1,1,1,1]",DESIGN-INT,direct
"(3,8)",6,15,"[12,6,6,5,5,5,3,3]",DESIGN-INT,direct
"(3,8)",7,14,"[11,6,6,5,5,5,2,2]",DESIGN-INT,direct
"(3,8)",8,4,"[3,3,2,2,1,1,0,0]",DESIGN-INT,direct
"(3,8)",9,12,"[9,6,4,4,4,3,3,3]",DESIGN-INT,direct
"(3,8)",10,12,"[9,5,5,5,3,3,3,3]",INTERFERENCE,direct
"(3,8)",11,16,"[12,6,6,6,6,6,3,3]",DESIGN-INT,direct
"(3,8)",12,7,"[5,5,3,3,3,1,1,0]",DESIGN-INT,direct
"(3,8)",13,7,"[5,5,3,3,2,1,1,1]",DESIGN-INT,direct
"(3,8)",14,10,"[7,7,4,4,4,2,1,1]",INTERFERENCE,direct
"(3,8)",15,10,"[7,5,5,5,2,2,2,2]",INTERFERENCE,direct
"(3,8)",16,13,"[9,9,5,5,3,3,3,2]",DESIGN-INT,direct
"(3,8)",17,16,"[11,11,6,6,4,4,3,3]",DESIGN-INT,direct
"(3,8)",18,6,"[4,4,3,3,1,1,1,1]",DESIGN-INT,direct
"(3,8)",19,9,"[6,6,4,4,4,1,1,1]",INTERFERENCE,direct
"(3,8)",20,18,"[12,12,7,7,4,4,4,4]",INTERFERENCE,direct
"(3,8)",21,3,"[2,2,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,8)",22,6,"[4,4,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,8)",23,9,"[6,6,3,3,3,2,2,2]",DESIGN-INT,direct
"(3,8)",24,9,"[6,5,5,5,2,2,1,1]",INTERFERENCE,direct
"(3,8)",25,3,"[2,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,8)",26,5,"[3,3,3,3,1,1,1,0]",DESIGN-INT,direct
"(3,8)",27,10,"[6,6,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,8)",28,15,"[9,8,8,8,3,3,3,3]",INTERFERENCE,direct
"(3,8)",29,7,"[4,4,4,4,2,1,1,1]",INTERFERENCE,direct
"(3,8)",30,16,"[9,9,9,9,4,4,2,2]",INTERFERENCE,direct
"(3,8)",31,18,"[10,10,10,10,4,4,3,3]",INTERFERENCE,direct
"(3,8)",32,28,"[15,15,15,15,6,6,6,6]",INTERFERENCE,direct
"(3,8)",33,2,"[1,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,8)",34,4,"[2,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,8)",35,6,"[3,3,3,3,3,1,1,1]",DESIGN-REAL,direct
"(3,8)",36,7,"[3,3,3,3,3,3,3,0]",DESIGN-INT,direct
"(3,8)",37,8,"[3,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,9)",0,,"[1,1,1,0,0,0,0,0,0]",DESIGN-INT,direct
"(3,9)",1,2,"[2,1,1,1,1,0,0,0,0]",DESIGN-INT,direct
"(3,9)",2,3,"[3,1,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,9)",3,4,"[4,1,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,9)",4,7,"[6,3,3,3,2,2,1,1,0]",DESIGN-INT,direct
"(3,9)",5,6,"[5,3,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,9)",6,5,"[4,3,2,2,1,1,1,1,0]",DESIGN-INT,direct
"(3,9)",7,15,"[12,6,6,5,5,5,3,3,0]",DESIGN-INT,direct
"(3,9)",8,14,"[11,6,6,5,5,5,2,2,0]",DESIGN-INT,direct
"(3,9)",9,13,"[10,6,6,6,4,4,1,1,1]",INTERFERENCE,direct
"(3,9)",10,4,"[3,3,2,2,1,1,0,0,0]",DESIGN-INT,direct
"(3,9)",11,12,"[9,6,6,6,3,3,1,1,1]",INTERFERENCE,direct
"(3,9)",12,12,"[9,6,4,4,4,3,3,3,0]",DESIGN-INT,direct
"(3,9)",13,12,"[9,5,5,5,3,3,3,3,0]",INTERFERENCE,direct
"(3,9)",14,16,"[12,6,6,6,6,6,3,3,0]",DESIGN-INT,direct
"(3,9)",15,11,"[8,7,5,5,2,2,2,1,1]",DESIGN-INT,direct
"(3,9)",16,11,"[8,6,4,4,4,4,1,1,1]",INTERFERENCE,direct
"(3,9)",17,7,"[5,5,3,3,3,1,1,0,0]",DESIGN-INT,direct
"(3,9)",18,7,"[5,5,3,3,2,1,1,1,0]",DESIGN-INT,direct
"(3,9)",19,10,"[7,7,4,4,4,2,1,1,0]",INTERFERENCE,direct
"(3,9)",20,10,"[7,7,4,4,4,1,1,1,1]",DESIGN-INT,direct
"(3,9)",21,10,"[7,7,4,4,2,2,2,1,1]",DESIGN-INT,direct
"(3,9)",22,10,"[7,5,5,5,2,2,2,2,0]",INTERFERENCE,direct
"(3,9)",23,13,"[9,9,6,6,3,2,2,1,1]",DESIGN-INT,direct
"(3,9)",24,13,"[9,9,5,5,3,3,3,2,0]",DESIGN-INT,direct
"(3,9)",25,16,"[11,11,6,6,4,4,3,3,0]",DESIGN-INT,direct
"(3,9)",26,19,"[13,13,7,7,4,4,4,4,1]",DESIGN-INT,direct
"(3,9)",27,6,"[4,4,3,3,1,1,1,1,0]",DESIGN-INT,direct
"(3,9)",28,9,"[6,6,4,4,4,1,1,1,0]",INTERFERENCE,direct
"(3,9)",29,12,"[8,8,5,5,2,2,2,2,2]",DESIGN-INT,direct
