system,index,class,denominator,support_size,kernel_dim,onehop_classes,silent_classes,max_class_size,all_real,descent
"(3,10)",0,DESIGN-INT,1,1,0,0,0,0,1,pad0
"(3,10)",1,DESIGN-INT,2,2,0,0,0,0,1,pad0
"(3,10)",2,DESIGN-INT,3,3,0,0,0,0,1,pad0
"(3,10)",3,DESIGN-INT,4,4,0,0,0,0,1,pad0
"(3,10)",4,DESIGN-INT,10,5,0,0,0,0,1,NEW
"(3,10)",5,DESIGN-INT,9,5,0,0,0,0,1,NEW
"(3,10)",6,DESIGN-INT,8,5,0,0,0,0,1,NEW
"(3,10)",7,DESIGN-INT,8,5,0,0,0,0,1,NEW
"(3,10)",8,DESIGN-INT,7,4,0,0,0,0,1,pad0
"(3,10)",9,DESIGN-INT,7,5,0,0,0,0,1,NEW
"(3,10)",10,DESIGN-INT,21,6,0,0,0,0,1,NEW
"(3,10)",11,DESIGN-INT,20,6,0,0,0,0,1,NEW
"(3,10)",12,DESIGN-INT,20,6,0,0,0,0,1,NEW
"(3,10)",13,DESIGN-INT,19,6,0,0,0,0,1,NEW
"(3,10)",14,DESIGN-INT,6,4,0,0,0,0,1,pad0
"(3,10)",15,DESIGN-INT,6,5,0,0,0,0,1,NEW
"(3,10)",16,DESIGN-INT,36,7,0,0,0,0,1,NEW
"(3,10)",17,INTERFERENCE,17,9,2,2,0,3,0,NEW
"(3,10)",18,DESIGN-INT,33,7,0,0,0,0,1,NEW
"(3,10)",19,DESIGN-INT,22,7,0,0,0,0,1,NEW
"(3,10)",20,DESIGN-INT,16,6,0,0,0,0,1,NEW
"(3,10)",21,DESIGN-INT,5,4,0,0,0,0,1,pad0
"(3,10)",22,DESIGN-INT,15,5,0,0,0,0,1,pad0
"(3,10)",23,DESIGN-INT,15,6,0,0,0,0,1,NEW
"(3,10)",24,INTERFERENCE,15,7,0,2,0,1,1,NEW
"(3,10)",25,INTERFERENCE,15,9,2,2,0,3,0,NEW
"(3,10)",26,DESIGN-INT,14,5,0,0,0,0,1,pad0
"(3,10)",27,DESIGN-INT,28,7,0,0,0,0,1,NEW
"(3,10)",28,INTERFERENCE,13,6,0,1,0,1,1,pad0
"(3,10)",29,DESIGN-INT,4,3,0,0,0,0,1,pad0
"(3,10)",30,INTERFERENCE,12,6,0,1,0,1,1,pad0
"(3,10)",31,DESIGN-INT,12,5,0,0,0,0,1,pad0
"(3,10)",32,DESIGN-INT,12,6,0,0,0,0,1,NEW
"(3,10)",33,INTERFERENCE,12,8,2,2,0,3,0,pad0
"(3,10)",34,INTERFERENCE,12,7,0,2,0,1,1,NEW
"(3,10)",35,DESIGN-INT,16,6,0,0,0,0,1,pad0
"(3,10)",36,DESIGN-INT,4,4,0,0,0,0,1,NEW
"(3,10)",37,DESIGN-INT,11,5,0,0,0,0,1,pad0
"(3,10)",38,INTERFERENCE,11,6,0,1,0,1,1,pad0
"(3,10)",39,DESIGN-INT,11,6,0,0,0,0,1,NEW
"(3,10)",40,INTERFERENCE,18,8,1,1,0,2,0,NEW
"(3,10)",41,DESIGN-INT,7,4,0,0,0,0,1,pad0
"(3,10)",42,DESIGN-INT,7,4,0,0,0,0,1,pad0
"(3,10)",43,INTERFERENCE,10,5,0,1,0,1,1,pad0
"(3,10)",44,DESIGN-INT,10,5,0,0,0,0,1,pad0
"(3,10)",45,DESIGN-INT,10,5,0,0,0,0,1,NEW
"(3,10)",46,DESIGN-INT,10,5,0,0,0,0,1,pad0
"(3,10)",47,INTERFERENCE,10,6,0,2,0,1,1,pad0
"(3,10)",48,DESIGN-INT,13,5,0,0,0,0,1,pad0
"(3,10)",49,INTERFERENCE,13,7,1,1,0,2,0,NEW
"(3,10)",50,DESIGN-INT,13,5,0,0,0,0,1,pad0
"(3,10)",51,DESIGN-INT,13,7,0,0,0,0,1,NEW
"(3,10)",52,DESIGN-INT,16,6,0,0,0,0,1,NEW
"(3,10)",53,DESIGN-INT,16,6,0,0,0,0,1,NEW
"(3,10)",54,DESIGN-INT,16,5,0,0,0,0,1,pad0
"(3,10)",55,DESIGN-INT,16,6,0,0,0,0,1,NEW
"(3,10)",56,DESIGN-INT,19,6,0,0,0,0,1,pad0
"(3,10)",57,INTERFERENCE,28,8,1,1,0,2,0,NEW
"(3,10)",58,DESIGN-INT,6,4,0,0,0,0,1,pad0
"(3,10)",59,INTERFERENCE,9,5,0,1,0,1,1,pad0
"(3,10)",60,INTERFERENCE,12,6,0,1,0,1,1,NEW
"(3,10)",61,DESIGN-INT,12,6,0,0,0,0,1,pad0
"(3,10)",62,INTERFERENCE,15,6,0,1,0,1,1,pad0
"(3,10)",63,INTERFERENCE,18,6,0,1,0,1,1,pad0
"(3,10)",64,DESIGN-INT,3,3,0,0,0,0,1,pad0
"(3,10)",65,DESIGN-INT,6,5,0,0,0,0,1,pad0
"(3,10)",66,INTERFERENCE,9,7,0,2,0,1,1,pad0
"(3,10)",67,DESIGN-INT,9,5,0,0,0,0,1,pad0
"(3,10)",68,INTERFERENCE,15,7,0,2,0,1,1,NEW
